sample_idx,token_idx,word_idx,token_id,token,is_special,is_word_start,label,pred,prob_0,prob_1
0,1,0,140,C,False,True,0,0,0.9994611144065857,0.0005389274447225034
0,3,1,10411,era,False,True,0,0,0.999962568283081,3.748972449102439e-05
0,4,2,10153,una,False,True,0,0,0.9999735355377197,2.6480845917831175e-05
0,5,3,13085,volta,False,True,0,0,0.9999560117721558,4.4001182686770335e-05
0,6,4,100,[UNK],True,True,0,0,0.6980721950531006,0.30192774534225464
0,7,5,100,[UNK],True,True,0,0,0.5577135682106018,0.4422864317893982
0,8,6,11038,Un,False,True,0,0,0.9999525547027588,4.739097857964225e-05
0,9,7,11639,re,False,True,0,0,0.9999560117721558,4.4001182686770335e-05
0,10,8,106,!,False,True,0,1,0.33179599046707153,0.6682040095329285
0,11,9,100,[UNK],True,True,0,0,0.9988574981689453,0.0011424494441598654
0,12,10,15321,dira,False,True,0,0,0.9999657869338989,3.426849434617907e-05
0,14,11,28497,subito,False,True,0,0,0.9999668598175049,3.3084706956287846e-05
0,15,12,177,i,False,True,0,0,0.999971866607666,2.8188662327011116e-05
0,16,13,12132,mi,False,True,0,0,0.9999608993530273,3.9135655242716894e-05
0,18,14,44742,piccoli,False,True,0,0,0.9999721050262451,2.7860261980094947e-05
0,19,15,86623,letto,False,True,0,0,0.9999643564224243,3.5633544030133635e-05
0,21,16,119,.,False,True,1,1,0.009994227439165115,0.9900057911872864
0,22,17,100,[UNK],True,True,0,0,0.7342624664306641,0.26573753356933594
0,23,18,10657,No,False,True,0,0,0.9999414682388306,5.851939567946829e-05
0,24,19,107,"""",False,True,0,0,0.9999724626541138,2.7535692424862646e-05
0,27,20,58386,ragazzi,False,True,0,0,0.999966025352478,3.4001819585682824e-05
0,28,21,107,"""",False,True,0,0,0.9999717473983765,2.829898767231498e-05
0,31,22,47145,ave,False,True,0,0,0.9999679327011108,3.206682958989404e-05
0,33,23,187,s,False,True,0,0,0.9999730587005615,2.6897843781625852e-05
0,37,24,119,.,False,True,1,1,0.01005236804485321,0.9899476170539856
0,38,25,140,C,False,True,0,0,0.9999508857727051,4.908661503577605e-05
0,40,26,10411,era,False,True,0,0,0.999968409538269,3.156969614792615e-05
0,41,27,10153,una,False,True,0,0,0.9999759197235107,2.4111139282467775e-05
0,42,28,13085,volta,False,True,0,0,0.9999692440032959,3.071818355238065e-05
0,43,29,10119,un,False,True,0,0,0.9999736547470093,2.6377607355243526e-05
0,44,30,95665,pezzo,False,True,0,0,0.999969482421875,3.0479142878903076e-05
0,45,31,10120,di,False,True,0,0,0.9999734163284302,2.65844828390982e-05
0,46,32,54618,legno,False,True,0,0,0.9999548196792603,4.5220887841423973e-05
0,47,33,119,.,False,True,1,1,0.011115013621747494,0.9888850450515747
0,48,34,14890,Non,False,True,0,0,0.99991774559021,8.220189192797989e-05
0,49,35,10411,era,False,True,0,0,0.9999641180038452,3.591301356209442e-05
0,50,36,10119,un,False,True,0,0,0.9999710321426392,2.8970060157007538e-05
0,51,37,54618,legno,False,True,0,0,0.9999593496322632,4.0694576455280185e-05
0,52,38,10120,di,False,True,0,0,0.9999738931655884,2.607030728540849e-05
0,53,39,14657,lu,False,True,0,0,0.999968409538269,3.156969614792615e-05
0,55,40,107,"""",False,True,0,0,0.9999691247940063,3.083840783801861e-05
0,58,41,10824,ma,False,True,0,0,0.9999666213989258,3.334418579470366e-05
0,59,42,10119,un,False,True,0,0,0.9999723434448242,2.764345845207572e-05
0,60,43,49404,semplice,False,True,0,0,0.9999661445617676,3.386926618986763e-05
0,61,44,95665,pezzo,False,True,0,0,0.9999721050262451,2.7860261980094947e-05
0,62,45,10143,da,False,True,0,0,0.9999765157699585,2.3460796001018025e-05
0,63,46,41163,cat,False,True,0,0,0.9999713897705078,2.8632557587116025e-05
0,65,47,107,"""",False,True,0,0,0.9999706745147705,2.9311537218745798e-05
0,68,48,10120,di,False,True,0,0,0.9999680519104004,3.194181772414595e-05
0,69,49,26923,quelli,False,True,0,0,0.9999715089797974,2.852093348337803e-05
0,70,50,10262,che,False,True,0,0,0.9999697208404541,3.024195939360652e-05
0,71,51,172,d,False,True,0,0,0.9999747276306152,2.5268225726904348e-05
0,73,52,53083,inverno,False,True,0,0,0.9999589920043945,4.101373633602634e-05
0,74,53,10294,si,False,True,0,0,0.9999734163284302,2.65844828390982e-05
0,75,54,10428,met,False,True,0,0,0.9999722242355347,2.7751650122809224e-05
0,77,55,13063,nelle,False,True,0,0,0.9999760389328003,2.4017143005039543e-05
0,78,56,28780,st,False,True,0,0,0.9999740123748779,2.596866943349596e-05
0,80,57,173,e,False,True,0,0,0.9999697208404541,3.024195939360652e-05
0,81,58,11888,nei,False,True,0,0,0.9999727010726929,2.7321411835146137e-05
0,82,59,88406,cam,False,True,0,0,0.9999748468399048,2.516971835575532e-05
0,85,60,10178,per,False,True,0,0,0.999971866607666,2.8188662327011116e-05
0,86,61,13621,ac,False,True,0,0,0.9999755620956421,2.449082603561692e-05
0,89,62,10154,il,False,True,0,0,0.9999762773513794,2.3737338779028505e-05
0,90,63,41869,fuoco,False,True,0,0,0.9999645948410034,3.535625000949949e-05
0,91,64,173,e,False,True,0,0,0.9999690055847168,3.0959101422922686e-05
0,92,65,10178,per,False,True,0,0,0.9999711513519287,2.8857117285951972e-05
0,93,66,29956,ri,False,True,0,0,0.9999743700027466,2.5666135115898214e-05
0,96,67,10141,le,False,True,0,0,0.9999737739562988,2.6172338039032184e-05
0,97,68,45244,stan,False,True,0,0,0.9999711513519287,2.8857117285951972e-05
0,99,69,119,.,False,True,1,1,0.01073516346514225,0.9892648458480835
0,100,70,14890,Non,False,True,0,0,0.9999346733093262,6.528265657834709e-05
0,101,71,10380,so,False,True,0,0,0.999972939491272,2.7108801077702083e-05
0,102,72,10678,come,False,True,0,0,0.9999778270721436,2.221226350229699e-05
